Unnamed: 0,image,variant,family
0,1025794,707-320,Boeing 707
1,1340192,707-320,Boeing 707
2,56978,707-320,Boeing 707
3,698580,707-320,Boeing 707
4,450014,707-320,Boeing 707
5,1042824,707-320,Boeing 707
6,894380,707-320,Boeing 707
7,1427680,707-320,Boeing 707
8,817494,707-320,Boeing 707
9,716386,707-320,Boeing 707
10,951982,707-320,Boeing 707
11,731614,707-320,Boeing 707
12,582363,707-320,Boeing 707
13,1082409,707-320,Boeing 707
14,2031775,707-320,Boeing 707
15,950991,707-320,Boeing 707
16,869722,707-320,Boeing 707
17,979376,707-320,Boeing 707
18,1002439,707-320,Boeing 707
19,864665,707-320,Boeing 707
20,1207591,707-320,Boeing 707
21,582372,707-320,Boeing 707
22,729223,707-320,Boeing 707
23,1319365,707-320,Boeing 707
24,548719,707-320,Boeing 707
25,577855,707-320,Boeing 707
26,1423583,707-320,Boeing 707
27,1187431,707-320,Boeing 707
28,610657,707-320,Boeing 707
29,869742,707-320,Boeing 707
30,687610,707-320,Boeing 707
31,1042021,707-320,Boeing 707
32,482761,707-320,Boeing 707
33,64933,707-320,Boeing 707
34,1019011,727-200,Boeing 727
35,732456,727-200,Boeing 727
36,218039,727-200,Boeing 727
37,2223757,727-200,Boeing 727
38,983618,727-200,Boeing 727
39,1327285,727-200,Boeing 727
40,65840,727-200,Boeing 727
41,980196,727-200,Boeing 727
42,995286,727-200,Boeing 727
43,1514487,727-200,Boeing 727
44,213505,727-200,Boeing 727
45,1459191,727-200,Boeing 727
46,1063986,727-200,Boeing 727
47,56337,727-200,Boeing 727
48,409532,727-200,Boeing 727
49,771164,727-200,Boeing 727
50,632010,727-200,Boeing 727
51,901504,727-200,Boeing 727
52,63052,727-200,Boeing 727
53,143080,727-200,Boeing 727
54,1089989,727-200,Boeing 727
55,907359,727-200,Boeing 727
56,875281,727-200,Boeing 727
57,1197395,727-200,Boeing 727
58,1149060,727-200,Boeing 727
59,1059846,727-200,Boeing 727
60,786258,727-200,Boeing 727
61,1512865,727-200,Boeing 727
62,523223,727-200,Boeing 727
63,1115308,727-200,Boeing 727
64,1739565,727-200,Boeing 727
65,994986,727-200,Boeing 727
66,193983,727-200,Boeing 727
67,822348,737-200,Boeing 737
68,1152739,737-200,Boeing 737
69,907429,737-200,Boeing 737
70,209554,737-200,Boeing 737
71,1187709,737-200,Boeing 737
72,847273,737-200,Boeing 737
73,923506,737-200,Boeing 737
74,59101,737-200,Boeing 737
75,1548405,737-200,Boeing 737
76,438655,737-200,Boeing 737
77,921022,737-200,Boeing 737
78,1094669,737-200,Boeing 737
79,198443,737-200,Boeing 737
80,851647,737-200,Boeing 737
81,247942,737-200,Boeing 737
82,564495,737-200,Boeing 737
83,826475,737-200,Boeing 737
84,65422,737-200,Boeing 737
85,1189268,737-200,Boeing 737
86,54367,737-200,Boeing 737
87,1918572,737-200,Boeing 737
88,337947,737-200,Boeing 737
89,1143132,737-200,Boeing 737
90,789826,737-200,Boeing 737
91,1942698,737-200,Boeing 737
92,458661,737-200,Boeing 737
93,447807,737-200,Boeing 737
94,74464,737-200,Boeing 737
95,1296896,737-200,Boeing 737
96,56331,737-200,Boeing 737
97,592977,737-200,Boeing 737
98,610653,737-200,Boeing 737
99,523229,737-200,Boeing 737
100,1899111,737-300,Boeing 737
101,69776,737-300,Boeing 737
102,569402,737-300,Boeing 737
103,1538841,737-300,Boeing 737
104,830001,737-300,Boeing 737
105,1323729,737-300,Boeing 737
